conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,0,0,0,96.5,355000.0,58.0,19,345000.0,2,5,0,0
1,0,39,0,0,2,96.5,255000.0,84.0,5,255000.0,2,4,0,0
1,0,39,0,0,2,90.0,265000.0,0.0,18,235000.0,1,4,1,0
1,0,39,0,0,0,95.0,435000.0,61.0,17,415000.0,1,1,0,0
1,0,39,0,0,2,102.93,155000.0,37.0,10,155000.0,1,4,0,0
1,0,39,0,0,1,96.5,285000.0,62.0,17,265000.0,0,4,0,0
1,0,39,0,0,6,85.0,415000.0,78.0,17,345000.0,2,5,0,0
1,0,39,0,0,1,96.5,275000.0,58.0,19,275000.0,0,4,0,0
1,0,37,0,0,0,96.65,225000.0,44.0,17,215000.0,0,4,1,0
1,0,39,3,0,6,101.01,175000.0,50.0,17,175000.0,1,4,0,0
1,0,39,0,0,0,80.0,375000.0,47.0,17,295000.0,2,4,1,0
2,0,39,0,0,2,90.4,855000.0,133.0,19,785000.0,2,5,0,0
1,0,14,1,0,2,62.21,715000.0,110.0,17,425000.0,1,1,0,0
1,0,39,0,0,1,106.16,155000.0,36.0,17,165000.0,1,4,0,0
1,0,39,1,0,0,97.0,185000.0,35.0,9,175000.0,0,4,1,0
1,0,39,0,0,2,93.92,325000.0,47.0,12,315000.0,1,4,0,0
1,0,39,1,0,2,98.61,345000.0,73.0,6,345000.0,1,4,0,0
1,0,39,0,0,2,98.95,265000.0,51.0,19,255000.0,0,4,1,0
1,0,39,1,0,6,105.02,145000.0,36.0,9,155000.0,1,1,0,0
1,0,39,0,0,2,109.27,325000.0,60.0,17,365000.0,0,4,0,0
1,0,39,0,0,2,96.5,335000.0,61.0,19,325000.0,0,4,1,0
1,0,39,0,0,2,140.85,85000.0,55.0,5,125000.0,1,2,1,0
1,0,39,0,0,2,96.5,285000.0,53.0,19,275000.0,0,4,1,0
2,0,39,0,0,6,90.0,575000.0,2.0,19,515000.0,1,4,0,0
1,0,14,0,0,2,53.13,325000.0,10.0,19,175000.0,1,4,0,0
1,0,39,0,0,2,80.0,265000.0,60.0,6,195000.0,1,4,1,0
